text,cmp_code,eu_code,pos,manifesto_id,party,date,language,annotations,translation_en,date_full,year
"We must act now – locally, nationally and globally.",501,NA,79,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"The UK can lead the world with innovation and ingenuity, while boosting the economy",416.2,NA,80,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and enhancing everyone’s quality of life.,503,NA,81,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Liberal Democrats will hold big companies to account by giving them a duty to protect the environment, including banning water companies from dumping raw sewage into rivers, lakes and coastal areas.",501,NA,82,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will put tackling climate change at the heart of a new industrial strategy.,416.2,NA,83,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will cut emissions and bills with an emergency Home Energy Upgrade programme.,403,NA,84,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will drive a rooftop solar revolution,416.2,NA,85,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and invest in clean energy, transport and industry.",416.2,NA,86,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will restore nature,501,NA,87,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and tackle toxic air pollution.,501,NA,88,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"And we will provide skills training, incentives and advice to help families and businesses with the transition to net zero.",416.2,NA,89,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A strong United Kingdom and a fair international order,H,NA,90,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Liberal Democrats are proud internationalists.,107,NA,91,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We believe that our country and our people thrive when we are open and outward-looking.,107,NA,92,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"The UK can be an incredible force for good when it stands tall on the world stage, and both the Covid pandemic and Vladimir Putin’s illegal war in Ukraine show that events beyond Britain’s borders inevitably become our concern.",107,NA,93,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Liberal Democrats will immediately fix our broken relationship with Europe, forge a new partnership built on cooperation, not confrontation,",108,NA,94,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and move to conclude a new comprehensive agreement that removes as many barriers to trade as possible.,108,NA,95,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will stand up to authoritarianism by championing the liberal, rules-based international order.",202.1,NA,96,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will reverse the Conservatives’ damaging cuts to the Army,104,NA,97,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and international development.,107,NA,98,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will work across borders to provide safe and legal routes to sanctuary for refugees,201.2,NA,99,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and tackle common threats such as human trafficking, cybercrime and terrorism.",605.1,NA,100,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A truly fair democracy,H,NA,101,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Every person matters.,201.2,NA,102,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Liberal Democrats believe that basic rights and dignity are the birthright of every individual, to be respected, cherished and enhanced.",201.2,NA,103,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Everyone should have equal power in our democracy, and be able to hold all Members of Parliament properly to account.",202.1,NA,104,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Liberal Democrats will introduce proportional representation for electing MPs, and local councillors in England,",204,NA,105,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and cap donations to political parties.,304,NA,106,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will shift power out of the centre in Westminster and Whitehall, so local decisions are made by and for the people and communities they affect.",301,NA,107,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will demand higher standards of behaviour from Government Ministers by enshrining the Ministerial Code in law.,304,NA,108,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will champion the UK’s Human Rights Act and resist any attempts to weaken or repeal it.,201.2,NA,109,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Our goal is to transform the nature of British politics itself – to make it relevant, engaging and responsive to people’s needs and dreams.",202.1,NA,110,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
The Economy,H,NA,111,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Liberal Democrats will build a strong, fair economy that benefits everyone in the UK, by helping people back to work,",503,NA,112,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"supporting small businesses,",402,NA,113,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"improving long-term productivity,",410,NA,114,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and delivering much greater stability for long-term investment, especially for the industries of the future.",402,NA,115,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Core to our economic policy for improving stability and growth will be responsible management of the public finances,",414,NA,116,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"fixing the broken trading relationship with Europe,",108,NA,117,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and an industrial strategy focused on the skills the future UK economy will need, from the renewables industry to the digital and bioscience sectors.",411,NA,118,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"The Conservatives have badly mismanaged the economy and recklessly damaged the public finances,",414,NA,119,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
grinding economic growth to a halt,410,NA,120,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and adding billions to the cost of servicing our debt.,414,NA,121,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Their botched Brexit deal has badly damaged the economy, leaving everyone worse off.",108,NA,122,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"By abandoning climate commitments, they have undermined industry’s confidence in investment in the green products and technologies vital to both economic recovery and tackling the climate emergency.",416.2,NA,123,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"And they have taken people for granted, failing to deliver the investment needed to bring prosperity to all nations and regions of the UK.",503,NA,124,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"They left families and businesses to suffer the effects of their cost-of-living crisis without enough support,",503,NA,125,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"hit people with years of unfair tax rises, such as the freeze on income tax thresholds,",503,NA,126,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and their promises to ‘level up’ have proved hollow.,503,NA,127,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will empower people,503,NA,128,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and support businesses to thrive by encouraging investment and boosting productivity.,402,NA,129,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will: Provide long-term help with the cost of living by cutting energy bills through an emergency Home Energy Upgrade programme,",403,NA,130,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"tackling rising food prices through a National Food Strategy,",403,NA,131,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and getting mortgage rates under control through careful economic management.,403,NA,132,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Invest in green infrastructure, innovation and skills to boost economic growth",410,NA,133,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and create good jobs and prosperity in every nation and region of the UK,",701,NA,134,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
while tackling the climate crisis.,501,NA,135,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Repair the broken relationship with Europe, which acts as a brake on the economy and costs the UK investment, jobs and tax revenue.",108,NA,136,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Foster stability, certainty and confidence by managing the public finances responsibly to get the national debt falling as a share of the economy",414,NA,137,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and ensure that day-to-day spending does not exceed the amount raised in taxes,",414,NA,138,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
while making the investments our country needs.,410,NA,139,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Put an end to Conservative waste and give taxpayers real value for money,",403,NA,140,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
giving HMRC the resources it needs to properly tackle tax avoidance and evasion.,605.1,NA,141,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Implement a tax policy that recognises how high the Conservatives have raised personal taxes, making the cost-of-living crisis worse, by instead focusing tax changes on reversing the Conservatives’ tax cuts for big banks",503,NA,142,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and imposing a proper, one-off windfall tax on the super-profits of oil and gas producers and traders.",403,NA,143,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"In addition, we will: Create good jobs",701,NA,144,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and prosperity in every nation and region of the UK by:,410,NA,145,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Launching an ambitious industrial strategy to incentivise businesses to invest and create good jobs across the UK, as set out in chapter 4.",402,NA,146,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Continuing to champion investment in the Northern Powerhouse, Western Gateway and Midlands Engine.",402,NA,147,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Supporting local and regional economic partnerships to coordinate development projects and boost growth in their areas.,410,NA,148,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Working with the devolved administrations to develop joint policies and partnerships to boost growth across the whole UK.,301,NA,149,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Ensuring that gigabit broadband is available to every home and business, including in rural and remote communities, as set out in chapter 15.",411,NA,150,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Foster the stability, certainty and confidence that are vital for economic growth and investment by:",410,NA,151,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Protecting the independence of the Bank of England and keeping the inflation target of 2%.,414,NA,152,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Ensuring that all fiscal events are accompanied by independent forecasts from the Office for Budget Responsibility.,414,NA,153,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Increase investment in green infrastructure, including renewable energy and zero-carbon transport, industry and housing, as set out in chapters 4, 5, 14 and 16,",416.2,NA,154,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and give a clearer zero-carbon remit to the UK Infrastructure Bank.,416.2,NA,155,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Remain committed to delivering the United Nations Sustainable Development Goals in the UK and around the world.,416.2,NA,156,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Work with partners in international forums, including the OECD and the UN,",403,NA,157,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
to tackle international corporate tax avoidance for the benefit of all countries,107,NA,158,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and make the case for increasing the global minimum rate of corporation tax to 21%.,403,NA,159,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Our priority for tax cuts, when the public finances allow, will be to cut income tax by raising the tax-free personal allowance, benefitting the vast majority of families",503,NA,160,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and taking more low-paid workers out of paying income tax altogether.,503,NA,161,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Make the tax system fairer and raise the money needed for our investment plans by:,503,NA,162,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Reversing Conservative tax cuts for the big banks, restoring Bank Surcharge and Bank Levy revenues to 2016 levels in real terms.",403,NA,163,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Increasing the Digital Services Tax on social media firms and other tech giants from 2% to 6%.,403,NA,164,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Fairly reforming capital gains tax to close loopholes exploited by the super wealthy.,503,NA,165,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Introducing a 4% tax on the share buyback schemes of FTSE-100 listed companies, to incentivise productive investment, job creation and economic growth.",403,NA,166,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"End retrospective tax changes such as the loan charge brought in by the Conservatives,",403,NA,167,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and review the Government’s off-payroll working IR35 reforms to ensure self-employed people are treated fairly.,403,NA,168,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Expand the British Business Bank to perform a more central role in the economy, to ensure that viable small and medium-sized businesses have access to capital, and enable it to help ‘crowd-in’ private investment,",403,NA,169,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
in particular in zero-carbon products and technologies.,416.2,NA,170,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Empower consumers and ensure that everyone can enjoy the benefits of new technology, by setting a UK-wide target for digital literacy and requiring all products to provide a short, clear version of their terms and conditions, setting out the key facts as they relate to individuals’ data and privacy.",403,NA,171,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Introduce a national financial inclusion strategy and require both the Financial Conduct Authority and the Prudential Regulation Authority to have regard to financial inclusion, such as protecting access to cash, especially in remote areas, supporting banking hubs, expanding access to bank accounts,",403,NA,172,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
delivering Sharia-compliant student finance,503,NA,173,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and supporting vulnerable consumers.,503,NA,174,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Business and Jobs,H,NA,175,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We aim to make Britain one of the most attractive places in the world for businesses to invest.,401,NA,176,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Only in partnership with responsible, sustainable businesses can we tackle the cost-of-living and climate crises,",416.2,NA,177,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and create the wealth to invest in healthcare, education and other essential public services.",410,NA,178,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Private enterprise is the principal engine of growth and prosperity in the UK.,401,NA,179,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will support it by creating a stable business environment with smart regulation,403,NA,180,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and investing in skills, infrastructure, research and innovation.",411,NA,181,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"In return, we expect businesses to commit to promote skills, equality and good governance, and to support their local communities.",403,NA,182,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
The Conservative Government has failed businesses and workers.,305.1,NA,183,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Growth is minimal,",410,NA,184,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"productivity is slipping,",410,NA,185,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and constant U-turns have badly damaged business confidence.,402,NA,186,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Unfair tax hikes have further dented our prosperity,",402,NA,187,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and our town centres and high streets are crying out for a fair business rates system.,402,NA,188,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"The Conservatives’ botched deal with Europe has done enormous damage to British businesses, putting up new barriers to trade and creating reams of red tape.",402,NA,189,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"The UK has less clout in trade negotiations,",108,NA,190,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"the US is not interested,",102,NA,191,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and the new trade deals the Conservatives have signed will undercut high environmental standards,501,NA,192,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and hurt our farmers.,703.1,NA,193,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will work in partnership with business to offer stability and ensure that we maximise the opportunities for investment, growth and employment across the country.",402,NA,194,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will make the UK a world leader in ethical, inclusive new technology, including artificial intelligence,",411,NA,195,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and a global centre for the development, manufacture and export of clean technologies.",416.2,NA,196,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"And we will prioritise the depth and quality of trade deals, ensuring they deliver benefits for the whole country.",503,NA,197,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
